City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Sola,VU,-13.8833,167.55,78.49,79,85,23.78,overcast clouds
250,Shakawe,BW,-18.3667,21.85,89.17,15,0,10.29,clear sky
251,San Luis,AR,-33.295,-66.3356,56.88,27,92,2.98,overcast clouds
252,Half Moon Bay,US,37.4636,-122.4286,62.51,90,100,5.75,overcast clouds
253,Katsuura,JP,35.1333,140.3,80.53,88,56,16.96,broken clouds
254,Kukushtan,RU,57.6464,56.4952,69.42,63,83,7.67,broken clouds
255,Tura,IN,25.5198,90.2201,76.82,93,100,2.04,overcast clouds
256,Atambua,ID,-9.1061,124.8925,73.8,87,55,2.26,broken clouds
257,Imperia,IT,43.9667,7.7833,75.99,70,91,5.46,overcast clouds
258,Tarko-Sale,RU,64.9225,77.785,49.55,59,96,14.18,overcast clouds
259,Coquimbo,CL,-29.9533,-71.3436,53.8,82,100,0.74,overcast clouds
260,San Jeronimo,PE,-11.9472,-75.2829,47.86,71,52,0.83,broken clouds
261,Grindavik,IS,63.8424,-22.4338,54.07,100,100,27.63,overcast clouds
262,Oranjemund,NA,-28.55,16.4333,70.3,45,80,13.94,light rain
263,Wenling,CN,28.3669,121.36,78.8,79,53,14.72,broken clouds
264,Crepy-En-Valois,FR,49.2336,2.8881,78.35,49,53,8.28,broken clouds
265,Clyde River,CA,70.4692,-68.5914,39.06,68,57,8.12,broken clouds
266,Broome,US,42.2506,-75.833,64.62,90,61,5.01,broken clouds
267,Saint George,US,37.1041,-113.5841,79.95,26,0,6.91,clear sky
268,Rocha,UY,-34.4833,-54.3333,53.62,87,94,10.96,overcast clouds
269,Ugoofaaru,MV,5.6667,73.0,77.67,82,100,25.5,overcast clouds
270,Zarubino,RU,42.63,131.0922,64.35,91,5,8.14,clear sky
271,Poum,NC,-20.2333,164.0167,73.29,75,76,17.83,broken clouds
272,Dumas,US,35.8656,-101.9732,64.54,88,0,0.0,clear sky
273,Hambantota,LK,6.1241,81.1185,80.94,89,100,11.5,light intensity shower rain
274,Iralaya,HN,15.0,-83.2333,77.49,88,100,10.71,overcast clouds
275,Kavaratti,IN,10.5669,72.642,79.38,84,100,15.93,moderate rain
276,Saint-Joseph,RE,-21.3667,55.6167,75.58,78,61,1.92,light rain
